id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
119728,140480,Great Sluggers: New World Stadium,NULL,1993-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120347,73688,Take a Break! Pinball,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120380,69642,Starflight: A Cosmic Adventure,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120464,46156,Fun Car Rally,NULL,1993-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120476,45611,Party Quiz Mega Q,NULL,1993-12-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120575,1619,Mortal Kombat II,"Following his defeat, Shang Tsung begs his master, Shao Kahn, to spare his life. He tells Shao Kahn that the invitation for Mortal Kombat cannot be turned down, and if they hold it in Outworld, the Earthrealm warriors must attend. Kahn agrees to this plan, and restores Tsung's youth. He extends the invitation to Raiden, who gathers his warriors and takes them into Outworld. The tournament is dangerous, as Shao Kahn has the home field advantage, and an Outworld victory will unbalance the furies and allow Outworld to subsume Earthrealm.",1993-04-03 00:00:00.000,45,NULL,NULL,NULL,75.7061,212
120650,112656,Escom CD ROM Edition,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120901,37324,Night striker,NULL,1993-05-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121070,37922,Monster Maker III: Hikari no Majutsushi,NULL,1993-12-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121100,4547,Dyna Brothers 2,NULL,1993-11-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121272,12770,Space Hulk,NULL,1993-12-31 00:00:00.000,NULL,NULL,52.5000,4,NULL,NULL
121289,93114,Hannibal,NULL,1993-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121339,71695,P.T.O.: Pacific Theater of Operations,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121425,11678,Command Adventures: Starship,"The year 2127 marked the end of the great interstellar war. Twelve cultural empires declared peace among one another, ending the overt hostilities. In the aftermath, the galaxy is full of planets unclaimed to any particular government. As a starship captain, you have been commissioned to explore space for these available worlds and conquer them for the glory of your race.",1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121443,132029,Mario Sports Festival,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121564,45710,Double Clutch,NULL,1993-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121591,48554,Ushio to Tora: Shinen no Daiyou,NULL,1993-08-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121732,42363,Super Formation Soccer II,NULL,1993-06-11 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
122162,4494,WarpSpeed,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
122254,12391,Ancients: Death Watch,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
122497,51391,Gateway II: Homeworld,NULL,1993-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
122498,63391,Igo-Shinan '94,NULL,1993-12-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
122561,142473,Dragon's Lair,NULL,1993-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
122603,66050,Kaiketsu Yanchamaru 3: Taiketsu! Zouringen,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
122741,8677,Defender of the Crown II,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
123016,39576,Night Slashers,NULL,1993-11-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
123148,14649,Dinosaur Detective Agency,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
123190,128888,Jurassic Park,"The story takes place after the events of the movie, except with the presence of Procompsognathus. You are sent back to Jurassic Park to retrieve dinosaur eggs from around the park and put them in an incubator. You only have 12 hours to retrieve one egg from every species of dino in the park. Unfortunately, shortly before arriving at the park, the player's helicopter crashes.

At the end of the game, the player character discovers that it was BioSyn that shot down your helicopter and that they have arrived on Isla Nublar. The player must then fight their way through BioSyn personnel and steal their helicopter to get off the island and ultimately win the game.",1993-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
123511,76238,Amiganoid,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
123808,125285,AleX-World,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
123839,115429,In Extremis,NULL,1993-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
123870,12803,Turrican 3,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124470,25880,Jurassic Park,NULL,1993-12-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
124496,2362,2nd Space,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124899,63295,The First Funky Fighter,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124940,79293,Gensō Tairiku Aurelia,NULL,1993-02-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125098,2057,Out Run 2019,NULL,1993-03-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125293,8077,Speedy Gonzales,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,58.0000,1
125446,14971,Columns III,NULL,1993-12-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125683,70233,The Even More Incredible Machine,NULL,1993-07-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125764,42268,Super F1 Circus 2,NULL,1993-07-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125783,49135,Tekkaman Blade,NULL,1993-01-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125873,3692,Sanrio World Smash Ball!,NULL,1993-07-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125908,44106,Smash Tennis,NULL,1993-06-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125919,37836,Super Famista 2,NULL,1993-03-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125970,42547,Super Back to the Future Part II,NULL,1993-07-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126114,5926,James Pond 3: Operation Starfish,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126151,9805,Ogre Battle: The March of the Black Queen,NULL,1993-03-12 00:00:00.000,4,NULL,NULL,NULL,72.4513,11
126214,4507,Winter Olympics: Lillehammer '94,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126219,2433,Bloodstone: An Epic Dwarven Tale,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126309,45573,NBA Showdown,NULL,1993-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126662,5370,Cliffhanger,NULL,1993-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126723,37096,Warlocks,NULL,1993-11-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126734,38166,Kamen Rider SD: Shutsugeki!! Rider Machine,NULL,1993-07-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126789,39556,Burning Rival,NULL,1993-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126854,5426,Racing Aces,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126863,46300,Street Hero,NULL,1993-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126910,46254,Mutant League Football,NULL,1993-10-10 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
127136,46270,Super Battleship,NULL,1993-03-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
127438,37641,Super Darius II,"The planet Darius, which formerly boasted a very advanced civilization, has been destroyed. Proco and Tiat escaped from Darius in search of a new world. They started a new civilization on the planet Olga. The descendants of Proco and Tiat happened to pick strange radio waves being emitted from the Milky way galaxy. The strange radio waves were an SOS from the planet Darius where their ancestors used to live. Having discovered the source of the strange radio waves, the immediately boarded the Silver Hawk, whose power had been greatly increased, and took off for the Milky Way. A fierce battle ensued on the planets of the Milky Way and in outer space in order to save the inhabitants of Darius from destruction.",1993-12-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
127641,8412,The Terminator: Rampage,NULL,1993-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
127714,2530,Ultima Underworld II: Labyrinth of Worlds,NULL,1993-01-01 00:00:00.000,5,NULL,NULL,NULL,72.5655,11
127791,12140,The Ultimate Haunted House,NULL,1993-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
127798,42389,Edo no Kiba,NULL,1993-04-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
127949,12722,Prime Mover,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128294,14248,Graham Gooch World Class Cricket,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
